id|name|spotify_link
1lMaDSraU3oiNUsVWJLHdF|Jars Of Clay|https://open.spotify.com/embed/artist/1lMaDSraU3oiNUsVWJLHdF
02da1vDJ2hWqfK7aJL6SJm|Soul Asylum|https://open.spotify.com/embed/artist/02da1vDJ2hWqfK7aJL6SJm
0dlOr0VIysztGWvU1dpjmP|Natalie Imbruglia|https://open.spotify.com/embed/artist/0dlOr0VIysztGWvU1dpjmP
6ZspT3xZPjYVscQkAIMF0i|Mark Plati|https://open.spotify.com/embed/artist/6ZspT3xZPjYVscQkAIMF0i
2oaT4Bh7mWfZg6O0XKr3ty|Norman Cooper|https://open.spotify.com/embed/artist/2oaT4Bh7mWfZg6O0XKr3ty
1yAwtBaoHLEDWAnWR87hBT|Modest Mouse|https://open.spotify.com/embed/artist/1yAwtBaoHLEDWAnWR87hBT
0qfuxQiPQ79eohvARHBLFs|Peter Kater|https://open.spotify.com/embed/artist/0qfuxQiPQ79eohvARHBLFs
00tVTdpEhQQw1bqdu8RCx2|Blue Öyster Cult|https://open.spotify.com/embed/artist/00tVTdpEhQQw1bqdu8RCx2
0rWSUQEtdCxT9Y1Hd0eGl8|Sister Sadie|https://open.spotify.com/embed/artist/0rWSUQEtdCxT9Y1Hd0eGl8
54tWKkrjv4bQgKrQrNlecm|Asleep At The Wheel|https://open.spotify.com/embed/artist/54tWKkrjv4bQgKrQrNlecm
3kbBWco9PZ5eSQsNScwG6U|Built To Spill|https://open.spotify.com/embed/artist/3kbBWco9PZ5eSQsNScwG6U
7y97mc3bZRFXzT2szRM4L4|Frédéric Chopin|https://open.spotify.com/embed/artist/7y97mc3bZRFXzT2szRM4L4
4Ws5hSoABAwvGJ4LhHwHgq|Vladimir Horowitz|https://open.spotify.com/embed/artist/4Ws5hSoABAwvGJ4LhHwHgq
2MWKhzU2iggdtLs4xLTqrP|John Gorka|https://open.spotify.com/embed/artist/2MWKhzU2iggdtLs4xLTqrP
29vmxj8SAUMWNxGDmxUtOz|Wind Machine|https://open.spotify.com/embed/artist/29vmxj8SAUMWNxGDmxUtOz
0Xha0wKeGIdxE5Z1jnxbUD|Tylman Susato|https://open.spotify.com/embed/artist/0Xha0wKeGIdxE5Z1jnxbUD
0QyjSRomk8pI4srgvJeDz0|The University of Texas Wind Ensemble|https://open.spotify.com/embed/artist/0QyjSRomk8pI4srgvJeDz0
6IEFj40kRnR24S1ZuTHmnK|Jerry Junkin|https://open.spotify.com/embed/artist/6IEFj40kRnR24S1ZuTHmnK
7KKscZTeDLz1g0QthWCMQV|George Enescu|https://open.spotify.com/embed/artist/7KKscZTeDLz1g0QthWCMQV
3Kc4x6BFeZVfx0mAgnDykn|Minnesota Orchestra|https://open.spotify.com/embed/artist/3Kc4x6BFeZVfx0mAgnDykn
0HWPIGRL1eXG4wSwTNlvQN|Eiji Oue|https://open.spotify.com/embed/artist/0HWPIGRL1eXG4wSwTNlvQN
6IMJSmu34MID4QPYxhMD6Z|Gabriela Lena Frank|https://open.spotify.com/embed/artist/6IMJSmu34MID4QPYxhMD6Z
0nUgGmqaWapTF9BiRDBmJp|Utah Symphony Orchestra|https://open.spotify.com/embed/artist/0nUgGmqaWapTF9BiRDBmJp
3xXehPffJ4rtaaCbqDwVJ3|Keith Lockhart|https://open.spotify.com/embed/artist/3xXehPffJ4rtaaCbqDwVJ3
1385hLNbrnbCJGokfH2ac2|Franz Liszt|https://open.spotify.com/embed/artist/1385hLNbrnbCJGokfH2ac2
3msvlMwebr9Lv7TbsLOSeI|Felix Hell|https://open.spotify.com/embed/artist/3msvlMwebr9Lv7TbsLOSeI
0Kekt6CKSo0m5mivKcoH51|Sergei Rachmaninoff|https://open.spotify.com/embed/artist/0Kekt6CKSo0m5mivKcoH51
6xhtcDhtGWHQefNtwMWaRJ|Joel Fan|https://open.spotify.com/embed/artist/6xhtcDhtGWHQefNtwMWaRJ
0dFtVIepmvSVnZ1G3NxY6g|Dominick Argento|https://open.spotify.com/embed/artist/0dFtVIepmvSVnZ1G3NxY6g
1X2h9tAUKWnt3RlUDHzfaA|Richard Danielpour|https://open.spotify.com/embed/artist/1X2h9tAUKWnt3RlUDHzfaA
1dPPkiP4fFCPHEvgQjXmmW|Pacific Chorale|https://open.spotify.com/embed/artist/1dPPkiP4fFCPHEvgQjXmmW
1wfNYlaWlnumKQlKPC0VmN|Pacific Symphony Orchestra|https://open.spotify.com/embed/artist/1wfNYlaWlnumKQlKPC0VmN
60dnxEes0YguF32naDTcAv|Carl St. Clair|https://open.spotify.com/embed/artist/60dnxEes0YguF32naDTcAv
0VmiaOzhvopQVjmAhjDQTw|Stanisław Skrowaczewski|https://open.spotify.com/embed/artist/0VmiaOzhvopQVjmAhjDQTw
3zLWEngWeXSzXzvZxQJP0O|Gary Graffman|https://open.spotify.com/embed/artist/3zLWEngWeXSzXzvZxQJP0O
45ff9QmiC1LkmDPk5TBN21|John Tavener|https://open.spotify.com/embed/artist/45ff9QmiC1LkmDPk5TBN21
393UL0pTGL3DNvPfCSgTk7|Minnesota Chorale|https://open.spotify.com/embed/artist/393UL0pTGL3DNvPfCSgTk7
0byMrU56ZqEIsjEqlFmsh1|Jorja Fleezanis|https://open.spotify.com/embed/artist/0byMrU56ZqEIsjEqlFmsh1
4GamZjZFOQyMp7LNx81GwZ|Paul Goodwin|https://open.spotify.com/embed/artist/4GamZjZFOQyMp7LNx81GwZ
5aIqB5nVVvmFsvSdExz408|Johann Sebastian Bach|https://open.spotify.com/embed/artist/5aIqB5nVVvmFsvSdExz408
3akjbB0gWBVeUSoEzYNJ2O|Virgil Fox|https://open.spotify.com/embed/artist/3akjbB0gWBVeUSoEzYNJ2O
459INk8vcC0ebEef82WjIK|Erik Satie|https://open.spotify.com/embed/artist/459INk8vcC0ebEef82WjIK
1Uff91EOsvd99rtAupatMP|Claude Debussy|https://open.spotify.com/embed/artist/1Uff91EOsvd99rtAupatMP
7KkUirCiJZhgRN3NbgG98L|Ottorino Respighi|https://open.spotify.com/embed/artist/7KkUirCiJZhgRN3NbgG98L
1MXwwmS2JpmsHZhdMeOL2s|Pure Prairie League|https://open.spotify.com/embed/artist/1MXwwmS2JpmsHZhdMeOL2s
1YQWsUf74fWC9zHvFXIpmB|Full Catastrophe Living|https://open.spotify.com/embed/artist/1YQWsUf74fWC9zHvFXIpmB
4T6JNArsi6h8yUgcmLpJJ1|The Subdudes|https://open.spotify.com/embed/artist/4T6JNArsi6h8yUgcmLpJJ1
2MRBDr0crHWE5JwPceFncq|Juan Gabriel|https://open.spotify.com/embed/artist/2MRBDr0crHWE5JwPceFncq
1fPAqwwH74xTD38C3yEEdP|Tied & Tickled Trio|https://open.spotify.com/embed/artist/1fPAqwwH74xTD38C3yEEdP
5DFipPOMNcZT3XMGx59s5I|Billy Hart|https://open.spotify.com/embed/artist/5DFipPOMNcZT3XMGx59s5I
3YGigudQiWDb5NdJOC5StS|Alec Empire|https://open.spotify.com/embed/artist/3YGigudQiWDb5NdJOC5StS
0IdJUMh8xVuehu7qlMcDth|Mauricio Kagel|https://open.spotify.com/embed/artist/0IdJUMh8xVuehu7qlMcDth
780aQbixCS1T0zJcDyZMQC|Ensemble Musikfabrik|https://open.spotify.com/embed/artist/780aQbixCS1T0zJcDyZMQC
2sgj794K3UaW1ApX28ZUhY|The Kentucky Headhunters|https://open.spotify.com/embed/artist/2sgj794K3UaW1ApX28ZUhY
5n7LhYXFfsukyUczxSPole|Nuckles|https://open.spotify.com/embed/artist/5n7LhYXFfsukyUczxSPole
2oxmEjNo7UXIiZi7X7ovGq|The Seldom Scene|https://open.spotify.com/embed/artist/2oxmEjNo7UXIiZi7X7ovGq
4iudEcmuPlYNdbP3e1bdn1|Silverchair|https://open.spotify.com/embed/artist/4iudEcmuPlYNdbP3e1bdn1
2ZW29i2YE4YDQf6WemPJ4W|Paul Mac|https://open.spotify.com/embed/artist/2ZW29i2YE4YDQf6WemPJ4W
6cjuHeJM6CHRUhIhApwFwx|Leo Kottke|https://open.spotify.com/embed/artist/6cjuHeJM6CHRUhIhApwFwx
62f9LejTohfxGWhMP00ZrS|White Willow|https://open.spotify.com/embed/artist/62f9LejTohfxGWhMP00ZrS
