id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
2vuDdXqekkDCSdawJyUpT6,Settle for Nothing,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],4,1,False,0.516,0.5329999999999999,7,-9.562999999999999,1,0.0429,0.0253,4.71e-05,0.113,0.29,97.73200000000001,287333,4.0,1992,1992-11-03
11cxKUEgnVAlesUKt4e3br,Bullet In the Head,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],5,1,True,0.418,0.8059999999999999,4,-6.965,1,0.128,0.0032,0.000788,0.623,0.447,164.202,307067,4.0,1992,1992-11-03
1IDAJagxB9AQjjYXaiDK1j,Know Your Enemy,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],6,1,True,0.574,0.765,4,-7.755,1,0.128,0.0141,0.0037799999999999995,0.136,0.613,117.63600000000001,294693,4.0,1992,1992-11-03
6zbHSDJjgrNdfIxPyGfPBt,Wake Up,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],7,1,False,0.41100000000000003,0.823,7,-7.5539999999999985,1,0.115,0.00316,0.0148,0.149,0.573,170.28099999999995,364133,4.0,1992,1992-11-03
3YEk8mVdMI7rxtfimlUd1G,Fistful of Steel,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],8,1,False,0.52,0.755,4,-9.031,0,0.134,0.0195,0.34,0.0956,0.608,155.513,331107,4.0,1992,1992-11-03
0WK0EqiidP6WEDOHK34HEe,Township Rebellion,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],9,1,True,0.525,0.597,2,-8.578,1,0.0551,0.00747,0.005529999999999999,0.35100000000000003,0.47,133.58,324427,4.0,1992,1992-11-03
1zVE9JBBy8j0KmlbM8Xwhi,Freedom,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],10,1,False,0.499,0.613,7,-8.53,1,0.0953,0.00061,0.0225,0.23199999999999998,0.531,113.57700000000001,366267,4.0,1992,1992-11-03
2SwgVZn9S4NGueAaEAryf1,Man on a Mission,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],1,1,False,0.787,0.903,0,-4.894,1,0.0315,0.292,2.48e-05,0.10099999999999999,0.9620000000000001,119.946,224307,4.0,2018,2018-04-10
0QCQ1Isa0YPVyIbs6JwpO1,Do It for Love,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],2,1,False,0.5870000000000001,0.958,4,-5.149,1,0.0586,0.107,0.0,0.0574,0.8320000000000001,87.976,238000,4.0,2018,2018-04-10
3kIBEFhsZOeeKGebxRraOb,Someday We'll Know,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],3,1,False,0.565,0.7809999999999999,1,-5.073,0,0.0308,0.0233,9.91e-06,0.0819,0.461,109.977,268013,4.0,2018,2018-04-10
5dNDRw6qjDcnbW3luRhElU,Forever for You,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],4,1,False,0.6509999999999999,0.5670000000000001,9,-6.4170000000000025,1,0.024,0.562,5.78e-06,0.18600000000000005,0.37,97.03,277813,4.0,2018,2018-04-10
