id|name|album|albums_ids|artists_ids|explicit|danceability|energy|key|mode|acousticness|instrumentalness|valence|release_date|spotify_link
3FUS56gKr9mVBmzvlnodlh|Killing In the Name|Rage Against The Machine|4LaRYkT4oy47wEuQgkLBul|['2d0hyoQ5ynDBnkvAbJKORj']|1|0.46|0.78|7|1|0.02|0.0|0.73|1992-11-03|https://open.spotify.com/embed/track/3FUS56gKr9mVBmzvlnodlh
3tTL7jlSkowXidYeafFtwG|Take the Power Back|Rage Against The Machine|4LaRYkT4oy47wEuQgkLBul|['2d0hyoQ5ynDBnkvAbJKORj']|1|0.54|0.84|1|1|0.04|0.0|0.3|1992-11-03|https://open.spotify.com/embed/track/3tTL7jlSkowXidYeafFtwG
2vuDdXqekkDCSdawJyUpT6|Settle for Nothing|Rage Against The Machine|4LaRYkT4oy47wEuQgkLBul|['2d0hyoQ5ynDBnkvAbJKORj']|0|0.52|0.53|7|1|0.03|0.0|0.29|1992-11-03|https://open.spotify.com/embed/track/2vuDdXqekkDCSdawJyUpT6
11cxKUEgnVAlesUKt4e3br|Bullet In the Head|Rage Against The Machine|4LaRYkT4oy47wEuQgkLBul|['2d0hyoQ5ynDBnkvAbJKORj']|1|0.42|0.81|4|1|0.0|0.0|0.45|1992-11-03|https://open.spotify.com/embed/track/11cxKUEgnVAlesUKt4e3br
1IDAJagxB9AQjjYXaiDK1j|Know Your Enemy|Rage Against The Machine|4LaRYkT4oy47wEuQgkLBul|['2d0hyoQ5ynDBnkvAbJKORj']|1|0.57|0.77|4|1|0.01|0.0|0.61|1992-11-03|https://open.spotify.com/embed/track/1IDAJagxB9AQjjYXaiDK1j
6zbHSDJjgrNdfIxPyGfPBt|Wake Up|Rage Against The Machine|4LaRYkT4oy47wEuQgkLBul|['2d0hyoQ5ynDBnkvAbJKORj']|0|0.41|0.82|7|1|0.0|0.01|0.57|1992-11-03|https://open.spotify.com/embed/track/6zbHSDJjgrNdfIxPyGfPBt
3YEk8mVdMI7rxtfimlUd1G|Fistful of Steel|Rage Against The Machine|4LaRYkT4oy47wEuQgkLBul|['2d0hyoQ5ynDBnkvAbJKORj']|0|0.52|0.76|4|0|0.02|0.34|0.61|1992-11-03|https://open.spotify.com/embed/track/3YEk8mVdMI7rxtfimlUd1G
0WK0EqiidP6WEDOHK34HEe|Township Rebellion|Rage Against The Machine|4LaRYkT4oy47wEuQgkLBul|['2d0hyoQ5ynDBnkvAbJKORj']|1|0.53|0.6|2|1|0.01|0.01|0.47|1992-11-03|https://open.spotify.com/embed/track/0WK0EqiidP6WEDOHK34HEe
1zVE9JBBy8j0KmlbM8Xwhi|Freedom|Rage Against The Machine|4LaRYkT4oy47wEuQgkLBul|['2d0hyoQ5ynDBnkvAbJKORj']|0|0.5|0.61|7|1|0.0|0.02|0.53|1992-11-03|https://open.spotify.com/embed/track/1zVE9JBBy8j0KmlbM8Xwhi
2SwgVZn9S4NGueAaEAryf1|Man on a Mission|Do It for Love|4evw6IBex3N8x1oA2axMTH|['77tT1kLj6mCWtFNqiOmP9H']|0|0.79|0.9|0|1|0.29|0.0|0.96|2018-04-10|https://open.spotify.com/embed/track/2SwgVZn9S4NGueAaEAryf1
